name,album,artists,"""popularity""",disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,track_number
Draw The Curtain,Postulate I,['LKN'],0.120272622,1,FALSE,0.209,0.953,11,-3.44,0,0.0815,0.0201,1.14E-06,0.175,0.172,140.327,192533,4,2006,4/11/2006,10
Sympathy for the Moron,How the Beach Boys Sound to Those WIth No Feelings,['Extra Happy Ghost!!!'],0.47569686,1,FALSE,0.643,0.514,5,-8.035,1,0.0322,0.897,0.0191,0.111,0.128,109.816,212613,4,2009,8/13/2009,4
Bamboo Bar,Cast Of Characters,['Celia Slattery'],0.42261651,1,FALSE,0.752,0.495,5,-8.569,1,0.0322,0.474,2.05E-05,0.062,0.388,120.038,298413,4,2008,11/13/2008,3
Kingsizebullmaster,Between Gaps,['MD'],0.344935403,1,FALSE,0.615,0.828,1,-10.872,1,0.0752,0.0675,0.895,0.106,0.0462,149.99,323067,4,2001,2001,4
Summer Is Not An Act 2,The Hands That Take You,['Radiation City'],0.065588666,1,FALSE,0.542,0.0115,11,-32.764,1,0.0365,0.992,0.931,0.162,0.141,83.967,78053,4,2011,9/27/2011,11
"Josephslegende, Op. 63, TrV 231: Ziemlich lebhaft – Zweite Tanzfigur –",Strauss: Josephslegende - Feuersnot - Militarischer Festmarsch,"['Richard Strauss', 'Royal Scottish National Orchestra', 'Neeme Järvi']",0.844474849,1,FALSE,0.291,0.0148,7,-37.847,1,0.0419,0.933,0.512,0.38,0.218,52.429,84067,4,2013,2013,10
Thank You,Crazy World,['Kisha'],0.269640202,1,FALSE,0.643,0.615,7,-4.395,1,0.0295,0.00892,3.12E-05,0.157,0.455,96.956,236360,4,2002,2/21/2002,12
Complimentary Muffin - Live in London,Live in London,['Flight of the Conchords'],0.48075781,1,FALSE,0.492,0.723,1,-16.103,0,0.949,0.809,0,0.919,0.414,77.871,226667,4,2019,3/8/2019,7
Song C - Instrumental,Spirit Trail,['Bruce Hornsby'],0.933332082,1,FALSE,0.492,0.083,3,-21.319,1,0.051,0.994,0.926,0.0979,0.338,88.109,167707,4,1998,10/13/1998,5
Roar,"Cover Stories, Vol. 4",['Caitlin Hart'],0.857433939,1,FALSE,0.663,0.184,7,-9.908,1,0.0297,0.89,1.13E-06,0.115,0.324,77.974,240987,4,2013,10/2/2013,3
Hole in the Wall,Spit it Out,['Naked Beggars'],0.085639197,1,FALSE,0.438,0.911,9,-5.303,1,0.0442,0.0392,0.0249,0.358,0.377,165.964,334667,4,2006,1/1/2006,1
Lost in Space Theme,70s TV Music,['Bob Thomas'],0.810305811,1,FALSE,0.484,0.542,10,-11.076,0,0.0514,0.0121,0.9,0.908,0.735,185.094,63925,4,2020,1/8/2020,11
Try,Jodorowsky's Dune (Original Soundtrack),['Kurt Stenzel'],0.256026125,1,FALSE,0.342,0.247,2,-18.834,1,0.0363,0.901,0.614,0.0805,0.0383,100.087,150240,1,2015,11/6/2015,33
Reaching Ground Zero,Irreverence,['Murder Made God'],0.284080815,1,FALSE,0.544,0.976,7,-2.799,0,0.183,0.000354,0.0634,0.079,0.149,120.015,234320,4,2013,6/25/2013,5
Battle Ropes,Loops In The Secret Society,['Jane Weaver'],0.31962518,1,FALSE,0.0743,0.0572,1,-14.934,1,0.0485,0.162,0.422,0.088,0.032,173.434,165693,1,2019,6/21/2019,10
"Piano Concerto No. 1 in E-Flat Major, H. 27: II. Air Eccosais 'Within a Mile of Edinburgh Town': Adagio non troppo",Field: Piano Concertos Nos. 1 and 3,"['John Field', 'Benjamin Frith', 'Royal Northern Sinfonia', 'David Haslam']",0.576230759,1,FALSE,0.188,0.0232,10,-32.098,1,0.0451,0.948,0.808,0.156,0.0784,90.756,391427,3,1997,10/8/1997,2
(Don't Fear) The Reaper,Hits Of The 70s (50 Songs),['Blue Öyster Cult'],0.176343255,1,FALSE,0.337,0.888,9,-10.805,0,0.0615,0.00465,0.000105,0.296,0.452,141.347,308222,4,2009,1/16/2009,1
"Sonaten-Triade, Op. 11: No. 2. in D Minor","Medtner: Piano Works, Vol. 2","['Nikolai Medtner', 'Geoffrey Tozer']",0.728872062,1,FALSE,0.303,0.107,2,-23.952,0,0.0423,0.994,0.884,0.0527,0.0392,73.633,406080,3,1993,6/1/1993,14
The Battell: VIII. The marche to the fighte,Byrd: My Ladye Nevells Booke (1591) (Complete),"['William Byrd', 'Elizabeth Farr']",0.249344072,1,FALSE,0.307,0.421,11,-14.164,1,0.0283,0.897,0.00788,0.118,0.512,97.462,148253,3,2007,7/31/2007,11
Black Thread,What a Time to Be Alive,['Superchunk'],0.197828427,1,FALSE,0.57,0.83,2,-5.951,1,0.033,0.000218,0.000523,0.33,0.251,121.007,247823,4,2018,2/16/2018,11
Air Of Gettysburg,Angels Turned Thieves,['John Train'],0.469070574,1,FALSE,0.42,0.347,7,-9.068,1,0.0299,0.572,0.00011,0.174,0.266,95.351,201253,3,1999,1/1/1999,10
El Ciruja,Manifiesto,['Las Bordonas'],0.055975803,1,FALSE,0.662,0.413,7,-9.048,1,0.0642,0.937,0.00078,0.0988,0.522,124.042,154707,4,2007,2007,8
Slippin' Away,Eye Of The Storm,['Eyedealr'],0.226950387,1,TRUE,0.719,0.814,4,-6.407,0,0.242,0.0432,0,0.126,0.191,92.938,227149,4,2014,2014,4
New Rain,The History of Fishes,['Alex Arrowsmith'],0.974999212,1,FALSE,0.504,0.679,11,-6.971,1,0.0276,0.509,6.47E-06,0.0756,0.812,170.001,265560,4,2005,11/7/2005,7
"3 Kirchenmusiken, Op. 23, MWV SD7: No. 1. Aus tiefer Not: Choral: Und ob es wahrt bis in die Nacht -",Mendelssohn Rarities,"['Felix Mendelssohn', 'Christ Church Schola Cantorum', 'Stephen Kennedy']",0.875908683,1,FALSE,0.108,0.154,5,-19.84,0,0.0423,0.946,0.939,0.131,0.0687,88.263,166853,4,2013,3/26/2013,17
Athair Ar Neamh,Maiden of Mysteries: Music of Enya,['Taliesin Orchestra'],0.268113159,1,FALSE,0.116,0.317,7,-10.568,0,0.0367,0.756,0.843,0.105,0.0366,91.595,220320,1,2002,9/24/2002,2
Black River Mood,Shined (The 20th Anniversary Edition of Black River Mood),['Ma Rainy'],0.741441254,1,FALSE,0.192,0.926,7,-4.467,1,0.0783,2.83E-05,0.127,0.108,0.442,85.71,525973,3,2016,11/25/2016,8
Time (feat. Monty),Fetty Wap (Deluxe),"['Fetty Wap', 'Monty']",0.332004031,1,TRUE,0.778,0.577,4,-5.313,1,0.0512,0.146,0,0.195,0.547,123.977,278693,4,2015,9/25/2015,9
Imaginary Funerals,Sirens,['Badass Wolf Shirt'],0.444669613,1,FALSE,0.417,0.457,8,-5.966,1,0.0277,0.00294,0.846,0.273,0.202,69.967,159284,4,2015,12/31/2015,9
Omar's Got a Problem,Big Noise,['Eddie From Ohio'],0.634086427,1,FALSE,0.683,0.668,4,-7.112,1,0.0646,0.74,1.18E-06,0.135,0.502,106.881,231507,4,2017,11/20/2017,4
O beatissime Ruperte,Canticles Of Ecstasy / Voice Of The Blood / O Jerusalem,"['Hildegard von Bingen', 'Sequentia']",0.514008035,3,FALSE,0.246,0.0212,9,-29.305,0,0.0541,0.989,2.83E-05,0.0884,0.0705,113.293,143773,4,2002,2002,4
Standing at the Station,Singles 2007-2010,['Ty Segall'],0.808385974,1,FALSE,0.453,0.988,10,-3.767,1,0.0918,0.229,0.657,0.103,0.666,161.888,124427,4,2011,11/22/2011,11
Fuzzy (Live),Shift Happens: Live in Mexicali,['Travis Larson Band'],0.984601858,1,FALSE,0.49,0.827,0,-3.444,1,0.0535,0.0834,0.815,0.97,0.371,125.069,264813,4,2015,6/30/2015,11
